Date,Time,Category,Subject,Body
2017-03-28,14:45:53,view_web,Web Page View,sueyanne viewed the event web page
2017-03-28,14:45:53,rsvp_reply_yes,RSVP Received,sueyanne replied yes
2017-03-28,14:47:43,private_message,Private Message,Thank you Roy and Jyothi for inviting us to be part of Caitlyn's special day.
2017-03-29,16:33:14,view_web,Web Page View,hems_rawal viewed the event web page
2017-03-29,16:33:14,rsvp_reply_yes,RSVP Received,hems_rawal replied yes
2017-04-01,16:31:05,view_email,Email View,cybilnancy viewed the email invitation
2017-04-01,16:35:04,view_web,Web Page View,cybilnancy viewed the event web page
2017-04-01,16:35:04,rsvp_reply_yes,RSVP Received,cybilnancy replied yes
2017-04-01,16:36:48,private_message,Private Message,Thanks for the invite. Sanjay's mom will be here too.
2017-04-02,15:06:40,view_web,Web Page View,sanjaycastelino viewed the event web page
2017-04-02,15:06:40,rsvp_reply_yes,RSVP Received,sanjaycastelino replied yes
2017-04-02,15:07:49,private_message,Private Message,"Hello Roy/Jyothi, Nancy has responded and we will be attending. Thank you for inviting us."
2017-04-03,18:13:47,rsvp_reply_yes,RSVP Received,sharmila_cd replied yes
2017-04-03,18:15:12,private_message,Private Message,we will be there.  let us knoe if you need help
2017-04-03,20:48:26,rsvp_reply_yes,RSVP Received,dimple.sequeira replied yes
2017-04-03,21:40:05,rsvp_reply_yes,RSVP Received,sharonjoel replied yes
2017-04-08,07:00:10,invitation_updated,Reminder Scheduled,Reminders sent to 25 guests by Email
2017-04-08,07:12:03,view_web,Web Page View,alwynr.lobo viewed the event web page
2017-04-08,07:12:10,rsvp_reply_yes,RSVP Received,alwynr.lobo replied yes
2017-04-08,07:13:27,private_message,Private Message,"Hi Roy/Jyothi,

Thanks for your invitation & we will be attending."
2017-04-08,07:47:12,rsvp_reply_yes,RSVP Received,jignasamt replied yes
2017-04-08,08:07:40,view_web,Web Page View,sharonp02 viewed the event web page
2017-04-08,13:01:24,view_web,Web Page View,aannlobo viewed the event web page
2017-04-08,13:02:42,rsvp_reply_yes,RSVP Received,aannlobo replied yes
2017-04-08,14:24:42,rsvp_reply_yes,RSVP Received,cynthialewis2002 replied yes
2017-04-08,18:55:51,email_bounce,Email Bounced,We were unable to deliver email message to denella2004 at denella2004@gmail.comfernandesthelma
2017-04-08,18:56:49,email_bounce,Email Bounced,We were unable to deliver email message to lorrainedcruz at lorrainedcruz@yahoo.cagndc
2017-04-09,22:00:53,view_web,Web Page View,chandrika.shenoy viewed the event web page
2017-04-10,09:35:03,view_web,Web Page View,niggsnigel viewed the event web page
2017-04-10,09:35:07,rsvp_reply_yes,RSVP Received,niggsnigel replied yes
2017-04-10,14:41:26,rsvp_reply_yes,RSVP Received,ahmed.parkar replied yes
